disease,symptoms
шизофрения,апатия галлюцинации бред навязчивые идеи безволие бедность эмоций бедность речи неспособность получать удовольствие социальная изоляция звучание или открытость мыслей окружающим разорванность речи и мыслей
шпора,боль во время ходьбы боль в пятке жжение в пятке
эзофагит,рвота тошнота слюнотечение отрыжка боль при глотании трудность при глотании боли во рту чувство кома в горле
экзоцервицит,выделения с кровью боль внизу живота нерегулярный менструальный цикл раздражение в области гениталий выделения из влагалища бели боль во время полового акта боль во время мочеиспускания
эклампсия,судороги а головная боль боль в подложечной области
эктропион шейки матки,нерегулярный менструальный цикл прозрачные выделения из влагалища
эмфизема,синюшность цианоз экспираторная одышка утруднен выдох снижение массы тела сухой кашель набухание шейных вен пыхтение бочкообразная грудная клетка
эмфизема легких,потеря аппетита анорексия сухой кашель кашель с мокротой одышка набухание шейных вен
эндемический зоб,удушье головная боль слабость отставание в росте трудность при глотании снижение интеллекта сухой кашель охриплость увеличение щитовидной железы одутловатость лица
эндокардит,озноб повышение температуры до 3839с повышенное потоотделение снижение массы тела повышение температуры выше 39с сухой кашель одышка боль в суставах петехии точечные кровоизлияния ночное потение кровотечение под ногтями
эндометриоз,боль внизу живота боль во время полового акта бесплодие боль в тазу выделения мажущие
эндометрит,слабость боль внизу живота повышенное потоотделение повышенная усталость повышение температуры до 38с боль в копчике боль в паху боли в пояснице желтые выделения из влагалища
эндомиометрит,головная боль слабость озноб повышение температуры до 3839с боль внизу живота снижение аппетита выделения слизистогнойного характера
эндоцервицит,выделения с кровью боль внизу живота нерегулярный менструальный цикл раздражение в области гениталий выделения из влагалища бели боль во время полового акта боль во время мочеиспускания
энтериоз,головная боль нарушение памяти тошнота головокружение сухость во рту вздутие живота снижение аппетита колики в животе зуд в заднем проходе
энтерит,рвота повышение температуры до 3839с тошнота боль вверху живота снижение массы тела диарея белый налет на языке урчание в животе вздутие живота метеоризм зловонный кал полифекалия увеличение объема каловых масс потеря аппетита анорексия боли в области пупка желтозеленые каловые массы непереносимость молока
энтеробиоз,зуд в носу боль внизу живота плаксивость тошнота повышенная усталость раздражительность снижение аппетита зуд в области ануса
энтеровирусные инфекции,слабость озноб повышение температуры до 3839с снижение аппетита апатия
энтероколит,бледность кожи рвота тошнота боль вверху живота снижение массы тела запор диарея отрыжка изжога урчание в животе вздутие живота снижение аппетита метеоризм боли в области пупка
энтропион заворот века,слезотечение покраснение глаз снижение остроты зрения светобоязнь боль в глазах жжение в глазу песок в глазах раздражение глаз помутнение роговицы
энурез,недержание мочи
энцефалит,судороги а головная боль тошнота повышение тонуса мышц ригидность повышение температуры выше 39с онемение светобоязнь сонливость паралич
энцефаломиелит,рвота снижение остроты зрения тошнота головокружение боли в пояснице повышение тонуса мышц ригидность онемение нарушения координации тремор дрожание мышечная боль паралич непонятная речь боли в конечностях задержка мочи
эпидидимит,боль в тазу повышение температуры до 38с боль в паху боль во время мочеиспускания кровь в сперме отек мошонки боль во время семяизвержения боль в мошонке выделения из уретры отеки в области паха
эпидимоорхит,озноб повышение температуры выше 39с боль в яичке увеличение яичка покраснение мошонки отек мошонки боль в мошонке увеличение мошонки
эпикондилит,боли в плече боль при рукопожатии боль в локте боль в предплечье боль в запястье
эпилепсия,судороги а дезориентация галлюцинации страх светобоязнь звукобоязнь фонофобия блики вспышки перед глазами
эписклерит,покраснение глаз отечность конъюнктивы узелковые образования в глазу
эритема,сыпь сыпь красного цвета
эрозия зубов,пятна на зубной эмали зубная боль
эрозия шейки матки,выделения с кровью нерегулярный менструальный цикл зуд гениталий выделения из влагалища бели боль во время полового акта
эхинококкоз,слабость снижение массы тела потеря аппетита анорексия
язва пищевода,рвота отрыжка изжога боль под правой лопаткой боль при глотании боль за грудиной рвота с кровью боли в левой половине грудной клетки нарушение глотания боль в пищеводе кислый привкус во рту
язвенная болезнь,бессонница рвота боль в области сердца тошнота боль вверху живота боль в подложечной области повышенное потоотделение повышенная усталость снижение массы тела запор раздражительность изжога боли в области пупка боль за грудиной темный цвет рвотных масс черный стул примесь крови
ячмень гордеолум,зуд в глазах отек века зуд века образование гнойной головки на веке
